Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2004-01-04,0,0,0,0,0
2004-01-11,0,0,0,0,0
2004-01-18,0,0,0,0,0
2004-01-25,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-02-08,0,0,0,0,0
2004-02-15,0,0,0,0,0
2004-02-22,0,0,0,0,0
2004-02-29,0,0,0,0,0
2004-03-07,0,0,0,0,0
2004-03-14,0,0,0,0,0
2004-03-21,0,0,0,0,0
2004-03-28,0,0,0,0,0
2004-04-04,57,0,0,0,0
2004-04-11,53,0,0,0,0
2004-04-18,53,0,0,0,0
2004-04-25,49,0,0,0,0
2004-05-02,49,0,0,0,0
2004-05-09,49,0,0,0,0
2004-05-16,49,0,0,0,0
2004-05-23,48,0,0,0,0
2004-05-30,0,0,0,0,0
2004-06-06,0,0,0,0,0
2004-06-13,0,0,0,0,0
2004-06-20,0,0,0,0,0
2004-06-27,0,0,0,0,0
2004-07-04,0,0,0,0,0
2004-07-11,60,0,0,0,0
2004-07-18,44,0,0,0,0
2004-07-25,44,0,0,0,0
2004-08-01,44,0,0,0,0
2004-08-08,38,0,0,0,0
2004-08-15,38,0,0,0,0
2004-08-22,38,0,38,0,0
2004-08-29,39,0,34,0,0
2004-09-05,40,0,34,0,0
2004-09-12,34,0,34,0,0
2004-09-19,34,0,34,0,0
2004-09-26,30,0,33,0,0
2004-10-03,30,0,33,0,0
2004-10-10,30,0,35,0,0
2004-10-17,31,0,37,0,0
2004-10-24,39,0,39,0,0
2004-10-31,0,0,0,0,0
2004-11-07,0,0,0,0,0
2004-11-14,0,0,0,0,0
2004-11-21,0,0,0,0,0
2004-11-28,0,0,0,0,0
2004-12-05,0,0,0,0,0
2004-12-12,37,0,0,0,0
2004-12-19,0,0,0,0,0
2004-12-26,0,0,0,0,0
2005-01-02,0,0,0,0,0
2005-01-09,0,0,0,0,0
2005-01-16,0,0,0,0,0
2005-01-23,0,0,0,0,0
2005-01-30,0,0,0,0,0
2005-02-06,0,0,0,0,0
2005-02-13,0,0,0,0,0
2005-02-20,31,0,0,0,0
2005-02-27,0,0,0,0,0
2005-03-06,0,0,0,0,0
2005-03-13,0,0,0,0,0
2005-03-20,0,0,32,0,0
2005-03-27,0,0,28,0,0
2005-04-03,40,0,28,0,0
2005-04-10,28,0,28,0,0
2005-04-17,28,0,28,0,0
2005-04-24,28,0,28,0,0
2005-05-01,28,0,28,0,0
2005-05-08,29,0,29,0,0
2005-05-15,29,0,29,0,0
2005-05-22,31,0,0,0,0
2005-05-29,32,0,0,0,0
2005-06-05,27,0,0,0,0
2005-06-12,27,0,0,0,0
2005-06-19,27,0,0,0,0
2005-06-26,0,0,0,0,0
2005-07-03,0,0,0,0,0
2005-07-10,0,0,0,0,0
2005-07-17,0,0,44,0,0
2005-07-24,0,0,37,0,0
2005-07-31,0,0,37,0,0
2005-08-07,0,0,37,0,0
2005-08-14,0,0,0,0,0
2005-08-21,0,0,0,0,0
2005-08-28,0,0,0,0,0
2005-09-04,0,0,0,0,0
2005-09-11,0,0,0,0,0
2005-09-18,0,0,0,0,0
2005-09-25,0,0,0,0,0
2005-10-02,0,0,0,0,0
2005-10-09,52,0,0,0,0
2005-10-16,37,0,48,0,0
2005-10-23,37,0,100,0,0
2005-10-30,37,0,55,0,0
2005-11-06,37,0,48,0,0
2005-11-13,37,0,75,0,0
2005-11-20,39,0,0,0,0
2005-11-27,42,0,0,0,0
2005-12-04,45,0,0,0,0
2005-12-11,48,0,0,0,0
2005-12-18,0,0,0,0,0
2005-12-25,0,0,0,0,0
2006-01-01,0,0,0,0,0
2006-01-08,0,0,0,0,0
2006-01-15,0,0,44,0,0
2006-01-22,0,0,0,0,0
2006-01-29,0,0,0,0,0
2006-02-05,0,0,0,0,0
2006-02-12,0,0,0,0,0
2006-02-19,0,0,0,0,0
2006-02-26,0,0,0,0,0
2006-03-05,0,0,0,0,0
2006-03-12,31,0,0,0,0
2006-03-19,31,0,0,0,0
2006-03-26,0,0,32,0,0
2006-04-02,0,0,29,0,0
2006-04-09,0,0,41,0,0
2006-04-16,0,0,29,0,0
2006-04-23,0,0,29,0,0
2006-04-30,0,0,29,0,0
2006-05-07,0,0,29,0,0
2006-05-14,34,0,29,0,0
